ID  объявления,parking_encoded,rooms,building_type,floor,totalfloors,elevator,design,sep_bathroom,bathrooms,Distance_to_Metro,kids_friendly,animal_friendly,square,okna_coded,musor_coded,clear_price,Utilities included,Prepayment months,furnished,Balcony,ceiling_height
271271157,0,4,1,5,16,5,3,0,1,1080.0,1,1,200.0,1.0,1.0,500000.0,1,1,1,0,3.0
271634126,0,4,2,5,16,2,3,1,3,960.0,1,0,198.0,2.0,0.0,500000.0,1,1,1,0,3.5
271173086,0,4,3,5,16,1,2,0,3,840.0,1,0,200.0,2.0,0.0,500000.0,0,1,1,0,3.2
272197456,0,4,3,5,6,1,2,0,3,360.0,0,1,170.0,2.0,0.0,400000.0,0,1,1,0,3.2
273614615,1,2,3,12,26,2,2,0,2,840.0,0,0,58.0,2.0,1.0,225000.0,1,1,1,0,3.9
274837728,1,3,3,3,7,0,3,0,1,600.0,0,0,92.0,1.0,0.0,470000.0,0,2,1,0,3.0
273643908,2,5,3,4,5,1,2,0,2,480.0,1,1,213.0,2.0,0.0,350000.0,0,1,1,0,3.2
274475342,0,3,1,2,4,1,2,1,2,360.0,1,1,98.0,0.0,0.0,250000.0,1,1,1,0,3.2
273973191,1,3,4,5,10,1,2,0,1,1080.0,0,1,120.0,1.0,0.0,130000.0,1,1,0,0,3.0
272900409,1,4,4,2,7,1,2,1,2,1200.0,1,0,90.0,2.0,1.0,210000.0,1,1,1,1,310.0
271036964,0,4,3,6,7,1,2,0,3,600.0,1,0,170.0,2.0,0.0,290000.0,0,1,1,0,3.2
273999490,1,3,5,4,8,1,2,0,1,240.0,0,0,80.0,2.0,0.0,100000.0,1,1,0,1,3.0
274017037,1,3,5,2,4,1,3,0,2,960.0,1,1,100.0,0.0,0.0,200000.0,1,1,1,0,3.0
273231024,1,5,1,6,8,3,3,1,3,1080.0,1,1,180.0,1.0,0.0,500000.0,1,1,1,1,3.0
274839211,0,5,1,5,9,1,2,0,2,600.0,0,0,222.2,1.0,0.0,450000.0,0,1,0,1,3.0
274767901,1,5,1,5,9,4,3,0,1,720.0,0,0,225.0,1.0,1.0,450000.0,1,1,0,0,3.0
274995950,1,2,3,19,26,0,2,0,1,1200.0,1,1,30.0,1.0,0.0,120000.0,1,1,1,0,3.0
274945807,1,5,3,5,9,0,3,0,1,600.0,1,1,222.0,1.0,0.0,450000.0,0,1,1,1,3.0
272911145,2,5,5,4,7,1,2,0,2,1440.0,0,0,150.0,1.0,0.0,180000.0,0,1,0,1,3.0
274748017,1,5,3,3,3,1,2,0,3,720.0,1,1,201.0,2.0,0.0,190000.0,0,1,0,0,3.2
273941734,1,2,3,12,26,0,2,0,2,1080.0,1,1,64.0,1.0,0.0,205000.0,1,1,0,0,3.0
274493570,0,3,3,2,7,1,2,0,2,600.0,1,0,112.0,2.0,0.0,230000.0,0,1,1,1,3.2
274849101,1,4,3,4,5,0,3,0,1,600.0,0,0,190.0,1.0,0.0,590000.0,0,1,1,0,3.0
223918678,1,5,1,8,9,0,2,1,3,960.0,1,1,255.6,0.0,0.0,850000.0,1,1,1,0,3.0
274391259,1,5,6,3,3,0,2,0,2,600.0,1,1,186.0,2.0,1.0,190000.0,1,1,1,0,3.3
272945376,2,3,3,3,8,1,2,0,2,600.0,1,1,100.0,2.0,0.0,200000.0,0,1,1,0,3.2
272612966,1,5,3,4,7,1,2,0,2,1320.0,0,0,150.0,0.0,0.0,200000.0,0,1,0,1,3.0
271568490,1,5,3,2,7,1,3,0,1,840.0,1,0,140.0,1.0,0.0,300000.0,0,1,0,0,3.0
264664760,1,3,1,5,13,0,2,0,2,1800.0,1,1,132.8,1.0,0.0,400000.0,1,1,1,0,3.0
228923308,0,5,2,8,10,2,3,1,4,1200.0,1,1,256.0,2.0,1.0,750000.0,1,3,1,0,3.0
267489303,1,6,6,3,6,1,1,1,3,600.0,1,1,380.0,2.0,1.0,870000.0,1,1,0,0,4.0
273353104,0,3,2,3,13,0,1,1,2,840.0,0,0,112.0,1.0,1.0,350000.0,0,1,1,0,3.15
273353103,0,2,2,10,13,0,1,1,2,840.0,0,0,91.0,1.0,1.0,400000.0,0,1,1,0,3.15
268321690,0,3,2,5,13,3,3,1,2,1320.0,1,1,135.0,2.0,0.0,400000.0,1,1,0,0,3.0
269496185,0,4,2,4,5,2,3,0,2,360.0,1,0,190.0,2.0,0.0,590000.0,1,1,1,0,3.2
272188531,1,2,3,21,26,0,1,1,1,1800.0,0,0,44.0,1.0,1.0,135000.0,0,1,1,0,4.15
272727784,1,3,3,7,7,0,2,0,1,1978.8262437679007,1,1,85.0,1.0,0.0,150000.0,1,1,1,1,3.0
267110043,1,2,2,5,7,2,1,1,2,840.0,1,0,100.0,1.0,1.0,320000.0,0,1,1,1,3.0
265323319,0,3,2,5,13,0,1,1,2,840.0,1,0,133.3,1.0,1.0,400000.0,0,1,1,0,3.15
265804792,1,4,3,3,5,0,1,1,3,840.0,0,1,210.0,2.0,1.0,400000.0,0,1,1,1,3.8
239000408,1,4,3,4,4,0,1,1,2,1080.0,1,1,180.0,1.0,1.0,450000.0,0,1,1,0,3.0
271209314,1,4,2,9,16,2,1,1,2,600.0,0,1,165.0,1.0,1.0,470000.0,0,1,1,0,3.35
269889430,1,4,3,4,6,0,1,1,2,720.0,0,1,190.0,1.0,1.0,590000.0,0,1,1,0,4.05
241704098,1,4,2,4,16,2,1,1,2,600.0,1,0,168.0,1.0,1.0,600000.0,0,1,1,0,3.35
239000331,1,5,2,8,9,2,1,1,3,960.0,0,1,250.0,1.0,1.0,850000.0,0,1,1,0,3.0
272823500,0,3,5,7,7,1,2,0,1,840.0,0,0,85.0,1.0,0.0,150000.0,0,1,0,1,3.0
274402813,0,3,2,6,17,0,2,0,3,600.0,1,1,105.0,2.0,0.0,195000.0,1,1,0,0,3.0
